,id,t,type
0,eqcV,1.000,practice
1,w5ak,2.000,practice
2,A7JT,0.001,evaluation
3,GwhZ,0.334,evaluation
4,YoP9,0.334,evaluation
5,EXZH,0.334,evaluation
6,L9jp,0.334,evaluation
7,I-uK,0.334,evaluation
8,1zjI,0.667,evaluation
9,YHrP,0.667,evaluation
10,HIX9,0.667,evaluation
11,Fws7,0.667,evaluation
12,Y6zx,0.667,evaluation
13,9ppk,1.000,evaluation
14,SDh5,1.000,evaluation
15,MLY9,1.000,evaluation
16,kZol,1.000,evaluation
17,T96J,1.000,evaluation
18,M3G0,1.334,evaluation
19,xcX2,1.334,evaluation
20,Erj4,1.334,evaluation
21,aPfY,1.334,evaluation
22,0-wO,1.334,evaluation
23,h2Ze,1.667,evaluation
24,P0S3,1.667,evaluation
25,xUDC,1.667,evaluation
26,-nc7,1.667,evaluation
27,y45U,1.667,evaluation
28,Mdt0,2.000,evaluation
29,Xt1F,2.000,evaluation
30,KleG,2.000,evaluation
31,1bEb,2.000,evaluation
32,q_bk,2.000,evaluation
